event_time,event_type,category_code,brand,price
2019-10-01 00:02:14 UTC,purchase,electronics.smartphone,samsung,130.76
2019-10-01 00:04:37 UTC,purchase,electronics.smartphone,apple,642.69
2019-10-01 00:07:07 UTC,purchase,furniture.bathroom.toilet,santeri,54.42
2019-10-01 00:09:26 UTC,purchase,electronics.audio.headphone,apple,189.91
2019-10-01 00:09:33 UTC,cart,electronics.smartphone,apple,515.67
2019-10-01 00:09:54 UTC,purchase,electronics.audio.headphone,apple,161.98
2019-10-01 00:10:08 UTC,purchase,electronics.smartphone,apple,515.67
2019-10-01 00:10:56 UTC,purchase,appliances.environment.air_heater,oasis,28.03
2019-10-01 00:11:00 UTC,cart,electronics.audio.headphone,apple,161.98
2019-10-01 00:12:14 UTC,purchase,electronics.audio.headphone,apple,171.56
2019-10-01 00:14:14 UTC,purchase,electronics.smartphone,vivo,463.31
2019-10-01 02:17:59 UTC,cart,electronics.smartphone,samsung,174.76
2019-10-01 02:19:10 UTC,purchase,electronics.smartphone,apple,736.18
2019-10-01 02:19:34 UTC,purchase,electronics.smartphone,apple,975.57
2019-10-01 02:19:36 UTC,cart,electronics.smartphone,huawei,258.21
2019-10-01 02:19:43 UTC,cart,electronics.smartphone,samsung,197.43
2019-10-01 02:20:11 UTC,purchase,electronics.audio.headphone,apple,189.91
2019-10-01 02:20:16 UTC,purchase,auto.accessories.videoregister,sho-me,141.86
2019-10-01 02:20:20 UTC,purchase,electronics.audio.headphone,xiaomi,23.13
2019-10-01 02:20:32 UTC,cart,electronics.smartphone,huawei,155.77
2019-10-01 02:20:33 UTC,purchase,electronics.smartphone,apple,946.97
2019-10-01 02:20:44 UTC,cart,electronics.smartphone,samsung,787.18
2019-10-01 02:21:02 UTC,purchase,electronics.smartphone,samsung,787.18
2019-10-01 02:21:04 UTC,cart,computers.peripherals.printer,epson,116.73
2019-10-01 02:21:16 UTC,cart,electronics.smartphone,apple,809.72
2019-10-01 02:21:33 UTC,cart,computers.peripherals.printer,epson,116.73
2019-10-01 02:21:49 UTC,cart,electronics.clocks,samsung,151.61
2019-10-01 02:21:51 UTC,cart,electronics.smartphone,apple,1747.79
2019-10-01 02:21:59 UTC,purchase,electronics.audio.headphone,ritmix,3.37
2019-10-01 02:22:00 UTC,cart,electronics.smartphone,apple,1747.79
2019-10-01 02:22:08 UTC,cart,electronics.smartphone,apple,1747.79
2019-10-01 02:22:11 UTC,purchase,electronics.smartphone,samsung,197.43
2019-10-01 02:22:14 UTC,cart,electronics.smartphone,apple,1747.79
2019-10-01 02:22:18 UTC,cart,electronics.smartphone,apple,1747.79
2019-10-01 02:22:19 UTC,cart,computers.peripherals.printer,epson,116.73
2019-10-01 02:22:23 UTC,purchase,computers.notebook,hp,320.35
2019-10-01 02:22:29 UTC,purchase,computers.peripherals.printer,epson,116.73
2019-10-01 02:22:31 UTC,purchase,electronics.clocks,samsung,151.61
2019-10-01 02:22:33 UTC,cart,electronics.smartphone,apple,1747.79
2019-10-01 02:22:42 UTC,cart,electronics.smartphone,apple,1413.16
2019-10-01 02:22:43 UTC,cart,electronics.smartphone,apple,1413.16
2019-10-01 02:23:05 UTC,purchase,electronics.smartphone,huawei,111.82
2019-10-01 02:23:05 UTC,purchase,electronics.audio.headphone,jbl,20.57
2019-10-01 02:23:10 UTC,purchase,electronics.smartphone,samsung,130.76
2019-10-01 02:23:15 UTC,cart,electronics.telephone,nokia,43.66
2019-10-01 02:23:19 UTC,purchase,apparel.shoes,ersport,35.78
2019-10-01 02:23:25 UTC,purchase,electronics.smartphone,apple,1747.79
2019-10-01 02:23:33 UTC,purchase,electronics.smartphone,samsung,286.86
2019-10-01 02:23:39 UTC,purchase,electronics.smartphone,samsung,254.82
2019-10-01 02:23:59 UTC,purchase,electronics.smartphone,samsung,174.76
